Repository Name,Account / Owner,Full Name,Description,Visibility,Created At,Updated At,Pushed At,Primary Language,Size (KB),Stars,Forks,Is Fork,Parent Repository,GitHub URL,Homepage URL,Connections,Connection Count,Is Cloned,Local Paths,Local Sources,Local Status,Is Out Of Sync,Sync Status
.tmp.driveupload,Local Only,local/.tmp.driveupload,Local project folder,LOCAL_ONLY,2026-06-25T22:25:40.675127Z,2026-06-25T22:25:40.675127Z,,,103193,0,0,No,,,,,0,Yes,~/Google_Antigravity/.tmp.driveupload,A,Local Folder,No,local_only
attn-class3-demo,Local Only,local/attn-class3-demo,Local project folder,LOCAL_ONLY,2026-06-25T21:00:05.585153Z,2026-06-25T22:09:57.230634Z,,HTML,65971,0,0,No,,,,,0,Yes,~/Google_Antigravity/attn-class3-demo,A,Local Folder,No,local_only
attn-class,Local Only,local/attn-class,Local project folder,LOCAL_ONLY,2026-06-25T20:33:14.764150Z,2026-06-25T22:09:56.881536Z,,HTML,60390,0,0,No,,,,,0,Yes,~/Google_Antigravity/attn-class,A,Local Folder,No,local_only
.tmp.drivedownload,Local Only,local/.tmp.drivedownload,Local project folder,LOCAL_ONLY,2026-06-25T21:13:50.874479Z,2026-06-25T21:13:50.874479Z,,,0,0,0,No,,,,,0,Yes,~/Google_Antigravity/.tmp.drivedownload,A,Local Folder,No,local_only
repos,falo-taiwan,falo-taiwan/repos,,PUBLIC,2026-06-25T14:22:12Z,2026-06-25T14:25:30Z,2026-06-25T14:24:45Z,JavaScript,324,0,0,No,,https://github.com/falo-taiwan/repos,https://falo-taiwan.github.io/repos/,,0,Yes,~/Google_Antigravity/Github_force_area,A,Cloned,No,synced
falo-taiwan.github.io,falo-taiwan,falo-taiwan/falo-taiwan.github.io,,PUBLIC,2026-03-27T08:21:11Z,2026-06-25T14:11:18Z,2026-06-25T14:10:00Z,HTML,51319,0,0,No,,https://github.com/falo-taiwan/falo-taiwan.github.io,https://falo-taiwan.github.io/,,0,No,,,Remote Only,No,remote_only
falo-chinese.github.io,falo-chinese,falo-chinese/falo-chinese.github.io,GitHub Pages root site for falo-chinese,PUBLIC,2026-05-09T12:39:35Z,2026-06-25T14:11:12Z,2026-06-25T14:10:03Z,HTML,56343,0,0,No,,https://github.com/falo-chinese/falo-chinese.github.io,https://falo-chinese.github.io/,,0,No,,,Remote Only,No,remote_only
video_to_ppt,Local Only,local/video_to_ppt,本專案是一個高效且零運作成本的簡報/投影片自動擷取系統。專為演講影片、教學課程及會議記錄設計，能將連續的影片流自動分析、去重並擷取出高清晰度的投影片影像，進而導出為 PDF 與網頁 HTML 報表。,LOCAL_ONLY,2026-06-25T10:35:17.705057Z,2026-06-25T10:35:17.705276Z,,Python,102330,0,0,No,,,,,0,Yes,~/Google_Antigravity/video_to_ppt,A,Local Folder,No,local_only
wechat_video,Local Only,local/wechat_video,Local project folder,LOCAL_ONLY,2026-06-25T10:34:42.203573Z,2026-06-25T10:34:31.285346Z,,,0,0,0,No,,,,,0,Yes,~/AI-CodeX/wechat_video,C,Local Folder,No,local_only
ipas-aiap,falo-taiwan,falo-taiwan/ipas-aiap,ipa exam project mirror from forceai0001-commits/ipas-aiap-exam,PUBLIC,2026-05-20T10:37:38Z,2026-06-25T04:12:42Z,2026-06-25T04:12:39Z,HTML,6993,0,0,No,,https://github.com/falo-taiwan/ipas-aiap,https://falo-taiwan.github.io/ipas-aiap/,falo-chinese,1,Yes,~/Google_Antigravity/OCR_Tools,A,Cloned,Yes,local_newer
tw-ai-grant,falo-taiwan,falo-taiwan/tw-ai-grant,歡迎使用 **AI APP Studio** 實作藍圖。這是一套專門為產品經理、創業家、組織創新推動者以及 AI Native 工作流設計師打造的系統化落地指南。,PUBLIC,2026-06-24T05:02:42Z,2026-06-24T10:46:29Z,2026-06-24T10:46:25Z,HTML,16118,0,0,No,,https://github.com/falo-taiwan/tw-ai-grant,https://falo-taiwan.github.io/tw-ai-grant/,,0,Yes,~/Google_Antigravity/ai_app,A,Cloned,Yes,local_newer
AI_IM_center,Local Only,local/AI_IM_center,Local project folder,LOCAL_ONLY,2026-06-25T10:09:08.711520Z,2026-06-24T10:17:41.575881Z,,Markdown,144812,0,0,No,,,,,0,Yes,~/Google_Antigravity/AI_IM_center,A,Local Folder,No,local_only
Line_IM_Agent,Local Only,local/Line_IM_Agent,Local project folder,LOCAL_ONLY,2026-06-25T10:09:08.657887Z,2026-06-23T00:09:31.836220Z,,Markdown,6965,0,0,No,,,,,0,Yes,~/AI-CodeX/Line_IM_Agent,C,Local Folder,No,local_only
ticket-demo,falo-taiwan,falo-taiwan/ticket-demo,---,PUBLIC,2026-06-22T08:48:00Z,2026-06-22T15:28:23Z,2026-06-22T15:26:53Z,HTML,4281,0,0,No,,https://github.com/falo-taiwan/ticket-demo,https://falo-taiwan.github.io/ticket-demo/,,0,Yes,~/Google_Antigravity/personal_ticket_management,A,Cloned,No,synced
firewall-test,falo-taiwan,falo-taiwan/firewall-test,這是一款專為售前顧問、架構師與項目經理（PM）設計的標準評估工具。協助顧問在導入 AI 代理、自動化 Workflow、企業知識庫、RPA 等方案時，迅速核對客戶端的網路安全環境、白名單放行策略與 Gateway 架構相容性。,PUBLIC,2026-06-22T06:45:03Z,2026-06-22T08:21:13Z,2026-06-22T08:21:10Z,HTML,287,0,0,No,,https://github.com/falo-taiwan/firewall-test,https://falo-taiwan.github.io/firewall-test/,,0,Yes,~/Google_Antigravity/firewall_ip_website,A,Cloned,No,synced
python_change,Local Only,local/python_change,Local project folder,LOCAL_ONLY,2026-06-25T10:09:08.863339Z,2026-06-21T17:35:16.144900Z,,,0,0,0,No,,,,,0,Yes,~/Google_Antigravity/python_change,A,Local Folder,No,local_only
ai-line-help,falo-taiwan,falo-taiwan/ai-line-help,LINE Information Overload Assistant (AI Note Commander) Research Reports and Documentation by Falo x Force Cheng,PUBLIC,2026-06-20T14:58:48Z,2026-06-20T15:49:32Z,2026-06-20T15:49:29Z,HTML,6153,0,0,No,,https://github.com/falo-taiwan/ai-line-help,https://falo-taiwan.github.io/ai-line-help/,,0,Yes,~/Google_Antigravity/ai-line-help,A,Cloned,No,synced
File_cleaner,Local Only,local/File_cleaner,Local project folder,LOCAL_ONLY,2026-06-25T10:09:08.681127Z,2026-06-18T17:47:21.070957Z,,HTML,1527,0,0,No,,,,,0,Yes,~/Google_Antigravity/File_cleaner,A,Local Folder,No,local_only
